date_scraped,search_page_num,chemical_name,chemical_page
2019-12-11 06:21:55.713811,241,POLYGLYCERYL-10 PENTAISOSTEARATE,https://www.ewg.org/skindeep/ingredients/722439-POLYGLYCERYL10_PENTAISOSTEARATE
2019-12-11 06:21:55.754844,241,POLYGLYCERYL-6 LAURATE,https://www.ewg.org/skindeep/ingredients/722519-POLYGLYCERYL6_LAURATE
2019-12-11 06:21:55.799752,241,POLYPROPYLENE TEREPHTHALATE,https://www.ewg.org/skindeep/ingredients/722568-POLYPROPYLENE_TEREPHTHALATE
2019-12-11 06:21:55.841361,241,PPG-4-CETETH-20,https://www.ewg.org/skindeep/ingredients/722965-PPG4CETETH20
2019-12-11 06:21:55.879685,241,PVP-HYDROGEN PEROXIDE,https://www.ewg.org/skindeep/ingredients/723152-PVPHYDROGEN_PEROXIDE
2019-12-11 06:21:55.993044,241,PYRUS COMMUNIS (PEAR) FRUIT JUICE,https://www.ewg.org/skindeep/ingredients/723174-PYRUS_COMMUNIS_PEAR_FRUIT_JUICE
2019-12-11 06:21:56.031338,241,RYOKU-CHA EKISU,https://www.ewg.org/skindeep/ingredients/723372-RYOKUCHA_EKISU
2019-12-11 06:21:56.071322,241,SACCHAROMYCES/ POTATO EXTRACT FERMENT FILTRATE,https://www.ewg.org/skindeep/ingredients/723395-SACCHAROMYCESPOTATO_EXTRACT_FERMENT_FILTRATE
2019-12-11 06:21:56.108309,241,SACCHAROMYCES/ SELENIUM FERMENT,https://www.ewg.org/skindeep/ingredients/723399-SACCHAROMYCESSELENIUM_FERMENT
2019-12-11 06:21:56.147930,241,SASSAFRAS OFFICINALE ROOT OIL,https://www.ewg.org/skindeep/ingredients/723460-SASSAFRAS_OFFICINALE_ROOT_OIL
2019-12-11 06:21:56.189258,241,SEQUOIADENDRON GIGANTEA BUD EXTRACT,https://www.ewg.org/skindeep/ingredients/723520-SEQUOIADENDRON_GIGANTEA_BUD_EXTRACT
2019-12-11 06:45:07.830730,242,SODIUM CARBOXYMETHYL DEXTRAN,https://www.ewg.org/skindeep/ingredients/723676-SODIUM_CARBOXYMETHYL_DEXTRAN
2019-12-11 06:45:07.870726,242,SODIUM NITRITE,https://www.ewg.org/skindeep/ingredients/723832-SODIUM_NITRITE
2019-12-11 06:45:07.909090,242,SODIUM STEARYL SULFATE,https://www.ewg.org/skindeep/ingredients/723931-SODIUM_STEARYL_SULFATE
2019-12-11 06:45:07.975785,242,SODIUM SWEETALMONDAMPHOACETATE,https://www.ewg.org/skindeep/ingredients/723941-SODIUM_SWEETALMONDAMPHOACETATE
2019-12-11 06:45:08.066184,242,SODIUM TRIDECETH-4 CARBOXYLATE,https://www.ewg.org/skindeep/ingredients/723958-SODIUM_TRIDECETH4_CARBOXYLATE
2019-12-11 06:45:08.107272,242,STACHYS OFFICINALIS EXTRACT,https://www.ewg.org/skindeep/ingredients/724116-STACHYS_OFFICINALIS_EXTRACT
2019-12-11 06:45:08.148779,242,TAED,https://www.ewg.org/skindeep/ingredients/724313-TAED
2019-12-11 06:45:08.190028,242,TARCHONANTHUS CAMPHORATUS OIL,https://www.ewg.org/skindeep/ingredients/724365-TARCHONANTHUS_CAMPHORATUS_OIL
2019-12-11 06:45:08.234241,242,TEA-LAURATE,https://www.ewg.org/skindeep/ingredients/724404-TEALAURATE
2019-12-11 06:45:08.274755,242,TERMINALIA BELLERICA FRUIT,https://www.ewg.org/skindeep/ingredients/724440-TERMINALIA_BELLERICA_FRUIT
2019-12-11 06:45:08.320471,242,TITANIUM OXYNITRIDE,https://www.ewg.org/skindeep/ingredients/724542-TITANIUM_OXYNITRIDE
